prefix;runID;tick;strategistID;p1;p2;p3;actionExecuted;actualProfit;predictedProfit;level;planningHorizon
null;1;370.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;376.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;379.0;0;0.25;0.31;0.44;RT2;0.0;0.0;2;50.0;
null;1;382.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;388.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;394.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;400.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;406.0;1;0.07;0.4;0.53;BT3;0.0;0.0;2;50.0;
null;1;412.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;413.0;0;0.25;0.31;0.44;RT3;0.0;0.0;2;50.0;
null;1;418.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;424.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;430.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;436.0;1;0.07;0.4;0.53;BT3;0.0;0.0;2;50.0;
null;1;442.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;447.0;0;0.25;0.31;0.44;RT3;0.0;0.0;2;50.0;
null;1;448.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;454.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;460.0;1;0.07;0.4;0.53;BT3;0.0;0.0;2;50.0;
null;1;466.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;472.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;478.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;481.0;0;0.25;0.31;0.44;RT3;0.0;0.0;2;50.0;
null;1;484.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;490.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;496.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;502.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;508.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;514.0;1;0.07;0.4;0.53;BT3;0.0;0.0;2;50.0;
null;1;515.0;0;0.25;0.31;0.44;RT3;0.0;0.0;2;50.0;
null;1;520.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;526.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;532.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;538.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;544.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;550.0;0;0.25;0.31;0.44;RT2;0.0;0.0;2;50.0;
null;1;550.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;556.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;562.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;568.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;574.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;580.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;585.0;0;0.25;0.31;0.44;RT2;0.0;0.0;2;50.0;
null;1;586.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;592.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;598.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;604.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;610.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;616.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;619.0;0;0.25;0.31;0.44;RT3;0.0;0.0;2;50.0;
null;1;622.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;628.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;634.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;640.0;1;0.07;0.4;0.53;BT3;0.0;0.0;2;50.0;
null;1;646.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;652.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;654.0;0;0.25;0.31;0.44;RT2;0.0;0.0;2;50.0;
null;1;658.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;664.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;670.0;1;0.07;0.4;0.53;BT3;0.0;0.0;2;50.0;
null;1;676.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;682.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;688.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;688.0;0;0.25;0.31;0.44;RT3;0.0;0.0;2;50.0;
